intervention,healthscore_pre,healthscore_post,age group,gender,exercise frequency,pre existing conditions,income group,vegetarian/vegan,cate_t
0,0.714935489,-0.809528292,Age 21-30,Male,1/week,None,Yes,No,0.5910542011260986
0,-1.278000647,-0.16867732300000002,Age 31-40,Female,1/week,Yes,Yes,No,-0.9066775441169739
0,0.19077205,-0.450408305,Age 41 and above,Male,1/week,Yes,Yes,No,0.14652931690216064
0,-2.3353660609999998,-1.201364632,Age 31-40,Female,1/week,None,Yes,No,-0.24369513988494873
0,-0.615705794,-0.506839688,Age 41 and above,Female,1/week,Yes,Yes,No,0.5360237956047058
0,1.4254848709999999,0.038266534,Age 21-30,Female,1/week,None,No,No,0.3295590281486511
0,-2.159138492,-1.444349881,Age 31-40,Female,1/week,None,Yes,No,-0.07110595703125
0,-0.991630847,0.036341481,Age 31-40,Male,1/week,Yes,Yes,No,-1.3727083206176758
0,1.497583565,0.560278425,Age 31-40,Female,1/week,None,Yes,No,0.3982740640640259
0,0.732106493,0.080046689,Age 41 and above,Female,1/week,None,Yes,No,-0.08931872248649597
0,0.280710867,-0.723178819,Age 21-30,Female,1/week,Yes,Yes,No,0.24920928478240967
0,0.221498418,-1.6180733580000002,Age 21-30,Male,1/week,Yes,Yes,Yes,1.148059606552124
0,1.267585009,-1.406124652,Age 21-30,Male,1/week,None,Yes,No,1.8271160125732422
0,-1.258812794,-1.6337732630000001,Age 21-30,Female,1/week,Yes,Yes,Yes,0.23899531364440918
0,0.103073521,-1.3040752740000001,Age 21-30,Male,1/week,Yes,Yes,No,0.7988492250442505
0,0.5332489420000001,-0.196467085,Age 41 and above,Male,1/week,Yes,Yes,No,0.05429559946060181
0,-1.7405980159999999,-1.543062638,Age 31-40,Male,1/week,None,Yes,Yes,-0.2955935001373291
0,1.328679144,0.159050624,Age 41 and above,Male,1/week,Yes,Yes,No,0.4079643189907074
0,1.4314982269999998,0.059121348,Age 31-40,Female,1/week,Yes,Yes,No,0.46621468663215637
0,-1.04656382,-1.3363810090000001,Age 41 and above,Male,1/week,None,Yes,No,-0.0982823371887207
0,-1.466374204,-0.913145641,Age 41 and above,Male,1/week,Yes,Yes,Yes,-0.2975078821182251
0,-0.704086928,-0.461694582,Age 41 and above,Female,1/week,Yes,Yes,No,-0.6962480545043945
0,-0.9581826859999999,-0.5294122410000001,Age 41 and above,Male,1/week,Yes,Yes,No,-0.7547869682312012
0,0.418873247,-1.461074316,Age 21-30,Female,1/week,Yes,Yes,No,1.216162919998169
0,-1.1570402370000001,-1.155800585,Age 41 and above,Male,1/week,Yes,Yes,No,-0.31985294818878174
0,1.56067962,0.508925195,Age 41 and above,Male,1/week,None,Yes,No,-0.15119102597236633
0,1.997871873,0.234515337,Age 21-30,Male,1/week,None,Yes,No,0.4056110382080078
0,0.5222013010000001,-0.557627932,Age 41 and above,Male,1/week,Yes,Yes,No,0.2567281126976013
0,-0.088464556,1.008282478,Age 31-40,Male,1/week,None,No,No,-1.2694635391235352
0,-1.542342001,-0.806513602,Age 31-40,Female,1/week,None,Yes,Yes,-0.811129093170166
0,1.5717272619999998,0.249340836,Age 41 and above,Female,1/week,None,Yes,No,0.8359267711639404
0,2.201442838,0.875729181,Age 41 and above,Female,1/week,Yes,Yes,No,0.29224395751953125
0,0.35210436700000003,0.461565667,Age 31-40,Male,1/week,None,Yes,No,-0.219092458486557
0,-1.267516654,-1.07679665,Age 41 and above,Male,1/week,None,Yes,Yes,-0.29739248752593994
0,0.396161259,0.309699887,Age 31-40,Male,1/week,None,No,Yes,0.3726516366004944
0,-3.106361676,-0.016811542,Age 31-40,Male,1/week,None,Yes,No,-1.4566253423690796
0,-0.074563824,-0.9351275259999999,Age 21-30,Female,1/week,Yes,Yes,No,0.7083848714828491
0,3.436086825,1.274047594,Age 31-40,Female,1/week,Yes,No,No,-0.5088379979133606
0,0.596510592,-1.013627047,Age 21-30,Male,1/week,Yes,Yes,No,0.7435609102249146
0,1.129821594,0.627431098,Age 41 and above,Female,1/week,Yes,Yes,No,0.2941877245903015
0,1.140869236,-0.298043573,Age 41 and above,Female,1/week,Yes,Yes,No,0.8432988524436951
0,1.228110043,0.21096548,Age 21-30,Male,1/week,Yes,No,No,-0.8267658948898315
0,1.958396908,-0.291431454,Age 21-30,Male,1/week,Yes,Yes,No,1.0964597463607788
0,1.20837256,0.36011457,Age 21-30,Male,1/week,None,No,No,-0.7254089117050171
0,1.118773952,0.063117274,Age 41 and above,Female,1/week,Yes,Yes,No,-0.36676645278930664
0,-2.1150816000000003,-0.859666625,Age 31-40,Female,1/week,Yes,No,No,0.9679122567176819
0,0.84258291,-0.162608255,Age 41 and above,Female,1/week,None,Yes,No,0.23569735884666443
0,-1.952470439,-1.6298241969999998,Age 41 and above,Male,1/week,Yes,Yes,Yes,-0.10337615013122559
0,1.8810612290000002,0.650003651,Age 41 and above,Male,1/week,None,Yes,No,0.23991334438323975
0,-0.7482774940000001,-1.0260084059999999,Age 41 and above,Female,1/week,Yes,Yes,No,0.023212075233459473
0,0.734672972,-1.194175945,Age 21-30,Female,1/week,None,Yes,No,0.9583232402801514
0,0.951785283,-0.707478915,Age 21-30,Male,1/week,Yes,Yes,No,0.45726633071899414
0,2.4227783030000003,1.175334837,Age 31-40,Female,1/week,None,Yes,No,0.3830796480178833
0,-1.886184589,-1.409741806,Age 41 and above,Female,1/week,Yes,Yes,No,-0.10235881805419922
0,0.675460524,-1.359024939,Age 21-30,Male,1/week,Yes,Yes,Yes,1.2015526294708252
0,2.057823496,0.14212121,Age 41 and above,Male,1/week,None,Yes,No,1.1123487949371338
0,1.387441335,1.2057079929999999,Age 31-40,Female,1/week,None,No,No,0.027222514152526855
0,0.84258291,0.023615307000000002,Age 41 and above,Male,1/week,None,No,No,-0.07609573006629944
0,1.326797457,-1.084276616,Age 21-30,Female,1/week,None,Yes,No,1.4460747241973877
0,1.34653494,-1.202025897,Age 21-30,Male,1/week,Yes,Yes,No,1.8760745525360107
0,-1.333802504,-1.1953025529999999,Age 41 and above,Male,1/week,Yes,Yes,No,-0.010459184646606445
0,-2.79796343,-0.07755785400000001,Age 31-40,Male,1/week,Yes,Yes,No,-1.155909776687622
0,0.497823178,-1.484624173,Age 21-30,Male,1/week,Yes,Yes,No,0.9962971210479736
0,-0.291676135,-1.4767742209999999,Age 21-30,Female,1/week,Yes,Yes,No,1.3205361366271973
0,1.892108871,0.9885919459999999,Age 41 and above,Female,1/week,Yes,No,No,-0.772085964679718
0,0.014009783,-1.26866335,Age 41 and above,Female,1/week,Yes,Yes,Yes,0.6949996948242188
0,0.047152708,0.017972169,Age 41 and above,Male,1/week,None,Yes,No,0.26484933495521545
0,3.004483498,1.4591078640000001,Age 21-30,Female,1/week,None,No,No,-0.936335563659668
0,1.10772631,0.159050624,Age 41 and above,Male,1/week,Yes,No,No,-0.4145885407924652
0,-0.7713463859999999,-1.3000773890000001,Age 31-40,Female,1/week,Yes,Yes,No,-0.011362075805664062
0,-0.7851132059999999,-1.6180733580000002,Age 21-30,Female,1/week,None,Yes,No,0.4817887544631958
0,1.306583861,0.029258445,Age 41 and above,Male,1/week,None,Yes,No,0.5853785276412964
0,3.480143717,0.704550917,Age 31-40,Female,1/week,None,Yes,No,0.07266229391098022
0,-0.052276067,-0.551984794,Age 41 and above,Female,1/week,None,Yes,No,0.36238420009613037
0,-0.627213343,-1.4453744119999998,Age 21-30,Male,1/week,Yes,Yes,Yes,1.3969144821166992
0,0.45834821200000003,-1.021476999,Age 21-30,Female,1/week,Yes,Yes,Yes,0.6350061893463135
0,0.971522766,-0.856628005,Age 21-30,Female,1/week,Yes,Yes,No,1.4883400201797485
0,-1.211915309,-0.10033772099999999,Age 31-40,Male,1/week,None,No,No,0.4327716827392578
0,0.182023453,-1.241275658,Age 21-30,Female,1/week,Yes,Yes,No,0.8029394149780273
0,0.7926732890000001,0.036341481,Age 31-40,Female,1/week,None,No,No,-0.17953604459762573
0,0.268105542,-0.106176873,Age 41 and above,Female,1/week,Yes,No,No,-0.48707151412963867
0,1.07021018,-0.683929059,Age 21-30,Male,1/week,None,Yes,Yes,0.3908917307853699
0,0.833360386,-0.76242858,Age 21-30,Female,1/week,Yes,Yes,No,0.7512637972831726
0,1.6822036790000001,-0.010243523000000001,Age 41 and above,Male,1/week,Yes,Yes,No,0.36094585061073303
0,0.951785283,-1.343325035,Age 21-30,Male,1/week,None,Yes,No,0.753813624382019
0,2.013632929,0.153407486,Age 41 and above,Male,1/week,Yes,Yes,No,1.0435924530029297
0,0.798392343,-0.066674905,Age 41 and above,Male,1/week,Yes,Yes,No,-0.8397461771965027
0,1.5164890530000001,-0.061031767,Age 41 and above,Female,1/week,None,Yes,No,0.8113821744918823
0,-0.881488617,-0.07755785400000001,Age 31-40,Female,1/week,Yes,Yes,No,-1.1392264366149902
0,-1.9966610059999998,-1.753973239,Age 41 and above,Male,1/week,Yes,Yes,Yes,0.02794051170349121
0,0.063598556,-1.406124652,Age 21-30,Female,1/week,Yes,Yes,No,0.8625829219818115
0,0.537298144,-1.335475083,Age 21-30,Female,1/week,None,Yes,Yes,1.2955482006072998
0,0.32018583300000003,-0.738878723,Age 21-30,Male,1/week,None,Yes,No,0.8690187335014343
0,1.49439377,0.8023683840000001,Age 41 and above,Male,1/week,None,No,No,-0.11102932691574097
0,-1.543707696,-1.285592765,Age 41 and above,Female,1/week,Yes,Yes,Yes,-0.327622652053833
0,2.786967848,0.6105016839999999,Age 41 and above,Male,1/week,Yes,No,No,0.9521988034248352
0,3.261070775,0.297314953,Age 21-30,Male,1/week,Yes,Yes,No,0.8827429413795471
0,0.84258291,-0.958290747,Age 41 and above,Male,1/week,Yes,No,No,0.6744704842567444
0,1.6425971819999998,-0.785978436,Age 21-30,Male,1/week,Yes,Yes,No,1.3455908298492432
0,-2.9741909989999997,-1.406383436,Age 31-40,Female,1/week,Yes,Yes,Yes,0.06858658790588379
0,-2.004939369,-1.5126894819999999,Age 31-40,Female,1/week,Yes,Yes,No,-0.07863259315490723
0,1.019345177,0.029258445,Age 41 and above,Male,1/week,Yes,Yes,No,0.21071210503578186
0,2.4320964959999998,0.02256663,Age 21-30,Female,1/week,None,No,No,0.2704264521598816
0,2.21249048,1.6996273640000001,Age 41 and above,Female,1/week,None,No,No,-0.3285834789276123
0,0.892572835,-0.683929059,Age 21-30,Male,1/week,Yes,Yes,No,0.648435115814209
0,1.820234528,-0.000983226,Age 21-30,Female,1/week,None,No,Yes,0.4398680627346039
0,-1.6762793969999998,-1.437957497,Age 41 and above,Male,1/week,None,No,Yes,0.3843933343887329
0,-2.0739944980000002,-1.7144712709999999,Age 41 and above,Male,1/week,Yes,Yes,Yes,-0.03371119499206543
0,1.997871873,1.2785589659999999,Age 21-30,Male,1/week,Yes,Yes,No,-0.3259279131889343
0,0.912310318,-1.225575754,Age 21-30,Female,1/week,None,No,No,0.8456600904464722
0,1.814775379,0.480709504,Age 41 and above,Female,1/week,None,Yes,No,0.7799372673034668
0,2.070323165,0.400819355,Age 31-40,Male,1/week,Yes,Yes,No,0.9612256288528442
0,-1.1678584159999998,-1.3456371230000002,Age 31-40,Female,1/week,Yes,Yes,No,-0.3624277114868164
0,0.919916402,-0.19082394600000002,Age 41 and above,Male,1/week,None,Yes,No,0.5977264642715454
0,1.18918532,-0.09274443199999999,Age 31-40,Male,1/week,None,No,No,0.9890795946121216
0,1.524172285,0.642712846,Age 21-30,Female,1/week,None,No,No,-0.2884192168712616
0,-1.444278921,-1.477459465,Age 41 and above,Male,1/week,None,Yes,Yes,0.23943686485290527
0,0.951785283,-1.005777095,Age 21-30,Male,1/week,Yes,No,Yes,0.2682429552078247
0,0.632677718,0.051830997999999996,Age 41 and above,Female,1/week,Yes,No,Yes,-0.5615448951721191
0,-3.040276337,-1.61140224,Age 31-40,Female,1/week,Yes,Yes,No,0.465787410736084
0,0.241235901,-1.154926185,Age 21-30,Female,1/week,Yes,Yes,No,0.7265944480895996
0,1.050472697,-0.27573155,Age 21-30,Female,1/week,None,Yes,No,0.07855421304702759
0,-2.864048768,-1.596215661,Age 31-40,Male,1/week,Yes,Yes,No,0.160980224609375
0,0.831535268,0.277556528,Age 41 and above,Male,1/week,None,No,No,-0.19615697860717773
0,-1.454228216,-0.631867954,Age 31-40,Female,1/week,Yes,Yes,No,-0.5368324518203735
0,-0.317419468,-0.461694582,Age 41 and above,Male,1/week,None,Yes,No,0.9250363111495972
0,-2.577678969,-1.36841699,Age 31-40,Female,1/week,Yes,Yes,No,0.3444787263870239
0,0.748616397,-0.19905047899999997,Age 31-40,Male,1/week,Yes,Yes,Yes,-0.5419333577156067
0,-0.5494199439999999,-1.082439788,Age 41 and above,Female,1/week,None,Yes,No,1.0401091575622559
0,1.7807595619999999,-0.000983226,Age 21-30,Male,1/week,Yes,Yes,No,0.6248283386230469
0,2.532920534,0.7425173620000001,Age 31-40,Male,1/week,Yes,No,No,-0.3713725209236145
0,0.142548487,-1.202025897,Age 21-30,Male,1/week,None,No,Yes,1.1036865711212158
0,-2.8199918760000005,-1.61140224,Age 31-40,Female,1/week,Yes,Yes,No,0.5126479864120483
0,0.083336039,-1.382574795,Age 21-30,Female,1/week,Yes,Yes,No,0.8625829219818115
0,-1.0576114620000001,-1.234804521,Age 41 and above,Female,1/week,None,No,Yes,0.4783017635345459
0,2.234721667,-0.36208102299999995,Age 21-30,Male,1/week,None,Yes,No,2.0395350456237793
0,1.6380131119999999,0.48635264200000006,Age 41 and above,Male,1/week,None,No,Yes,-0.02241450548171997
0,1.339726786,0.480709504,Age 41 and above,Female,1/week,None,No,No,0.07798746228218079
0,-0.44999116899999997,-0.247255329,Age 41 and above,Female,1/week,Yes,No,No,0.2553784251213074
0,-1.76466053,-1.3025221790000001,Age 41 and above,Female,1/week,Yes,No,Yes,0.35555553436279297
0,-1.455326563,-1.1727299999999998,Age 41 and above,Female,1/week,Yes,Yes,No,-0.020804524421691895
0,0.986202252,0.396062431,Age 41 and above,Female,1/week,None,No,No,0.7965664863586426
0,1.8500387040000001,0.689364338,Age 31-40,Male,1/week,None,No,No,0.25618064403533936
0,-0.6046581520000001,-0.360118093,Age 41 and above,Female,1/week,Yes,Yes,No,0.5085126757621765
0,0.964106968,0.5484271629999999,Age 41 and above,Female,1/week,None,No,No,-0.5693355798721313
0,0.912310318,-0.621129442,Age 21-30,Male,1/week,Yes,Yes,No,0.7697539329528809
0,1.167156873,0.689364338,Age 31-40,Female,1/week,None,Yes,No,0.5652106404304504
0,1.583384734,0.030416582,Age 21-30,Female,1/week,None,Yes,No,1.5810669660568237
0,-1.9829109230000002,-1.474723037,Age 31-40,Male,1/week,Yes,Yes,No,-0.21911406517028809
0,-0.824588172,-1.5552737419999998,Age 21-30,Female,1/week,Yes,Yes,No,0.3281285762786865
0,-3.106361676,-1.618995529,Age 31-40,Male,1/week,Yes,Yes,No,0.255429744720459
0,2.643062764,0.560278425,Age 31-40,Male,1/week,None,No,No,1.1880006790161133
0,1.69325132,0.791082107,Age 41 and above,Female,1/week,None,Yes,No,0.6054364442825317
0,0.971522766,-0.856628005,Age 21-30,Female,1/week,Yes,Yes,No,1.4883400201797485
0,-0.706163275,-1.084276616,Age 21-30,Male,1/week,Yes,Yes,No,-0.31785714626312256
0,4.03085487,1.000689189,Age 31-40,Female,1/week,None,No,No,0.1226644515991211
0,-3.08433323,-1.618995529,Age 31-40,Female,1/week,Yes,Yes,No,0.46712708473205566
0,0.497823178,-1.374724843,Age 21-30,Female,1/week,Yes,Yes,No,0.9402098655700684
0,1.629754242,0.628618026,Age 31-40,Male,1/week,None,No,No,-0.44329601526260376
0,0.396161259,0.051528059,Age 31-40,Female,1/week,None,No,No,0.523066520690918
0,-1.7757081719999999,-1.4548869119999999,Age 41 and above,Female,1/week,None,Yes,No,0.05687403678894043
0,-3.150418568,-1.649368685,Age 31-40,Male,1/week,Yes,Yes,No,0.30696606636047363
0,-2.051899214,-1.731400686,Age 41 and above,Male,1/week,Yes,No,Yes,0.642196536064148
0,-0.396862802,0.7273307840000001,Age 31-40,Female,1/week,None,Yes,No,-0.15719249844551086
0,-1.013659293,-0.9583793820000001,Age 31-40,Male,1/week,Yes,Yes,No,-0.4711652994155884
0,-2.577678969,-1.5126894819999999,Age 31-40,Male,1/week,Yes,Yes,No,-0.14363765716552734
0,-2.9741909989999997,-1.520282771,Age 31-40,Male,1/week,Yes,Yes,Yes,-0.03687763214111328
0,0.19790524399999998,-0.145897456,Age 31-40,Male,1/week,None,No,No,0.03654089570045471
0,-0.793374832,-0.8900397809999999,Age 31-40,Female,1/week,None,Yes,No,-0.8074072599411011
0,1.361822069,0.966019393,Age 41 and above,Male,1/week,None,No,No,-0.4757811427116394
0,-2.159138492,-1.543062638,Age 31-40,Female,1/week,Yes,Yes,No,0.0029115676879882812
0,-1.564370447,-1.003939117,Age 31-40,Male,1/week,None,Yes,No,-0.645927906036377
0,-0.317419468,-0.9752201620000001,Age 41 and above,Female,1/week,None,Yes,No,1.0294077396392822
0,2.708421255,0.446464043,Age 21-30,Female,1/week,None,Yes,No,1.107439398765564
0,2.753204995,0.6134314479999999,Age 31-40,Male,1/week,None,Yes,No,0.9953534603118896
0,0.19790524399999998,-0.009218253000000001,Age 31-40,Male,1/week,None,Yes,No,0.10280710458755493
0,1.5196120119999998,0.005968325,Age 31-40,Female,1/week,None,Yes,No,0.6223204135894775
0,0.46224659700000004,0.06671463700000001,Age 31-40,Female,1/week,None,Yes,No,0.08446481823921204
0,1.4649598369999999,-0.9822272390000001,Age 21-30,Male,1/week,Yes,Yes,No,1.953244686126709
0,-1.6210411880000002,-1.189659415,Age 41 and above,Female,1/week,Yes,Yes,No,-0.34911906719207764
0,-2.004939369,-1.05709214,Age 31-40,Male,1/week,None,Yes,No,-0.5217533111572266
0,2.775233441,0.689364338,Age 31-40,Male,1/week,Yes,Yes,No,0.7852651476860046
0,2.550521393,1.29425887,Age 21-30,Female,1/week,None,Yes,No,0.5327810049057007
0,-1.916825585,-0.29776323600000004,Age 31-40,Male,1/week,None,Yes,No,-1.359343409538269
0,1.682072148,0.093216199,Age 21-30,Female,1/week,None,No,No,0.11857104301452637
0,-0.725900757,-0.9822272390000001,Age 21-30,Male,1/week,None,Yes,No,-0.37355732917785645
0,3.215802364,0.48434553399999997,Age 31-40,Male,1/week,None,Yes,No,0.34129899740219116
0,-2.952162553,-1.4367565919999998,Age 31-40,Female,1/week,None,No,Yes,0.650052547454834
0,0.951785283,-0.37778092700000004,Age 21-30,Male,1/week,None,No,No,0.19044208526611328
0,1.8589659459999999,1.4287567280000002,Age 41 and above,Female,1/week,None,No,No,-0.6976350545883179
0,3.105660133,0.355259621,Age 31-40,Male,1/week,None,Yes,No,0.5223074555397034
0,-1.123897312,-0.6704906970000001,Age 41 and above,Male,1/week,Yes,Yes,No,-0.3694577217102051
0,0.069247991,-0.17953767,Age 41 and above,Female,1/week,None,Yes,No,0.5531657934188843
0,0.550360382,-0.42684915,Age 31-40,Male,1/week,None,No,No,0.7961087226867676
0,1.228110043,-0.432730592,Age 21-30,Female,1/week,None,No,No,-0.2727484703063965
0,-2.2031953840000003,-0.97356596,Age 31-40,Male,1/week,Yes,Yes,Yes,-0.8981943130493164
0,3.3259445939999996,0.83363683,Age 31-40,Male,1/week,None,Yes,No,0.28011977672576904
0,-0.793374832,0.135054239,Age 31-40,Female,1/week,None,Yes,No,-0.8074072599411011
0,1.497583565,0.36285291,Age 31-40,Female,1/week,None,Yes,No,0.3982740640640259
0,-2.599707415,-1.072278718,Age 31-40,Male,1/week,Yes,Yes,No,-0.24132418632507324
0,1.783953365,0.507125402,Age 31-40,Female,1/week,None,Yes,No,0.5804659724235535
0,0.726587951,0.324886465,Age 31-40,Male,1/week,None,Yes,No,-0.27213409543037415
0,1.741284597,-0.45628044799999995,Age 21-30,Female,1/week,None,Yes,No,1.2490105628967285
0,-2.071024708,-1.2393310770000001,Age 31-40,Male,1/week,None,Yes,No,-0.48998403549194336
0,2.026266273,0.6969576270000001,Age 31-40,Male,1/week,None,Yes,No,0.47718507051467896
0,0.754410455,-1.037176903,Age 21-30,Male,1/week,Yes,Yes,No,0.24002349376678467
1,1.914204154,0.757223278,Age 41 and above,Female,2/week,None,No,No,0.13171178102493286
1,-0.7482774940000001,-1.0485809590000001,Age 41 and above,Male,2/week,None,No,Yes,0.0036449432373046875
0,-1.76466053,-1.68625558,Age 41 and above,Female,2/week,None,Yes,Yes,0.16327118873596191
0,1.761022079,0.399364331,Age 21-30,Male,2/week,None,No,No,0.11556771397590637
0,-1.960882477,-1.618995529,Age 31-40,Male,2/week,None,Yes,Yes,-0.1701357364654541
0,2.797261887,0.788077096,Age 31-40,Male,2/week,None,No,No,0.8386962413787842
0,-1.2785642959999999,-1.133228032,Age 41 and above,Female,2/week,None,Yes,Yes,-0.2943449020385742
0,-2.599707415,-1.269704233,Age 31-40,Male,2/week,None,No,Yes,0.3759431838989258
0,-2.952162553,-1.041905562,Age 31-40,Male,2/week,None,Yes,Yes,-0.5425549745559692
1,1.593822545,0.396062431,Age 41 and above,Male,3/week,None,No,No,0.1538960337638855
1,-3.018247891,-1.3760102790000002,Age 31-40,Female,3/week,None,Yes,Yes,-0.03340959548950195
0,2.290607626,0.081901216,Age 31-40,Male,3/week,Yes,No,No,0.48398059606552124
0,-1.564370447,-0.9583793820000001,Age 31-40,Male,3/week,None,Yes,No,-0.7125085592269897
0,-0.33951475200000003,-0.772067185,Age 41 and above,Male,3/week,None,No,Yes,0.6735356450080872
0,2.39262153,0.19526557600000002,Age 21-30,Male,3/week,None,Yes,No,0.6697919964790344
0,4.801850485,0.848823408,Age 31-40,Female,3/week,None,No,No,0.26117539405822754
0,2.5990058719999998,0.560278425,Age 31-40,Male,3/week,None,Yes,No,1.141495704650879
0,2.797261887,0.970316033,Age 31-40,Male,3/week,None,No,No,0.6073223352432251
1,1.737441887,0.48635264200000006,Age 41 and above,Male,4/week,None,Yes,No,0.14967340230941772
0,2.312636072,0.529905269,Age 31-40,Female,4/week,None,No,No,0.023427844047546387
0,0.517560661,-1.178476041,Age 21-30,Male,4/week,None,Yes,No,0.9727319478988647
0,1.228110043,-0.699628963,Age 21-30,Male,4/week,None,No,Yes,0.5455764532089233
0,0.942011685,-0.04974549,Age 41 and above,Male,4/week,None,No,No,-0.4477752447128296
0,2.7538249230000003,1.581121461,Age 41 and above,Female,4/week,None,Yes,No,-0.04165053367614746
0,1.211213766,-0.836886758,Age 31-40,Male,4/week,None,Yes,No,1.016486406326294
0,-2.062946856,-1.5169614319999998,Age 41 and above,Male,4/week,None,No,Yes,0.45220518112182617
0,1.524172285,0.532813516,Age 21-30,Male,4/week,None,No,No,-0.19670873880386353
0,0.596510592,-1.327625131,Age 21-30,Male,4/week,None,Yes,No,0.936519980430603
0,1.899184459,0.077516295,Age 21-30,Male,4/week,None,No,No,0.14191153645515442
0,1.593822545,0.24369769800000002,Age 41 and above,Male,4/week,None,No,No,0.17416787147521973
0,2.293934116,0.265915145,Age 21-30,Male,4/week,None,No,No,0.15921998023986816
0,2.313671599,1.090160115,Age 21-30,Female,4/week,None,Yes,No,-0.34589534997940063
0,2.863347226,0.476752245,Age 31-40,Male,4/week,None,No,No,1.0081369876861572
0,1.8794469759999999,0.627012941,Age 21-30,Female,4/week,None,No,No,-0.6743058562278748
0,2.400749857,0.7652972290000001,Age 31-40,Male,4/week,None,Yes,No,0.33678925037384033
0,1.050472697,-0.181532125,Age 21-30,Male,4/week,None,No,No,-0.480854332447052
1,1.3176315029999999,0.322701633,Age 41 and above,Female,5/week,None,No,No,0.6287866830825806
0,-0.617147263,-0.335729681,Age 31-40,Female,5/week,None,Yes,No,-0.2023240327835083
0,0.478085695,-1.2098758490000001,Age 21-30,Male,5/week,None,Yes,No,0.7388598918914795
0,-1.784654908,-0.97356596,Age 31-40,Male,5/week,None,Yes,No,-0.741487979888916
0,0.787344701,0.17598003899999998,Age 41 and above,Male,5/week,None,Yes,No,-0.9307947158813477
0,1.914204154,0.5484271629999999,Age 41 and above,Female,5/week,None,No,No,-0.0012801289558410645
